Name,Field,Squid_x,Squid_y,Squid_z
20,5,-4.33E-06,1.90E-06,-6.48E-07
20,10,-3.54E-06,1.02E-06,-3.17E-06
20,15,-2.93E-06,6.71E-07,-4.46E-06
20,20,-2.51E-06,5.29E-07,-5.31E-06
20,25,-2.14E-06,5.64E-07,-5.77E-06
20,30,-1.81E-06,3.17E-07,-6.19E-06
20,35,-1.31E-06,2.70E-07,-6.16E-06
20,40,-1.13E-06,3.03E-07,-6.56E-06
20,45,-5.85E-07,1.19E-07,-6.63E-06
20,50,-8.89E-07,5.38E-08,-6.57E-06
20,60,-8.66E-07,-1.03E-07,-6.79E-06
20,70,-2.00E-07,-8.07E-08,-5.92E-06
20,80,3.52E-07,-1.61E-07,-5.27E-06
20,90,3.90E-07,-2.06E-07,-4.52E-06
20,100,5.16E-07,-1.54E-07,-4.27E-06
21,0,9.66E-06,4.29E-06,6.29E-06
21,5,3.85E-06,4.60E-06,6.35E-06
21,10,4.46E-07,3.68E-06,4.39E-06
21,15,-3.29E-08,3.07E-06,3.19E-06
21,20,-1.15E-07,2.67E-06,2.12E-06
21,25,-1.03E-07,2.68E-06,1.27E-06
21,30,-1.65E-08,2.43E-06,3.08E-07
21,35,8.14E-08,2.13E-06,-2.94E-07
21,40,-6.49E-08,1.99E-06,-8.71E-07
21,45,1.11E-07,1.76E-06,-1.09E-06
21,50,1.13E-07,1.56E-06,-1.67E-06
21,60,2.02E-07,1.35E-06,-2.23E-06
21,70,4.84E-08,1.29E-06,-2.46E-06
21,80,5.03E-07,4.10E-07,-2.58E-06
21,90,4.44E-07,1.30E-07,-2.24E-06
21,100,5.07E-07,1.56E-07,-1.90E-06
22,0,3.80E-06,2.81E-06,1.32E-05
22,5,1.35E-06,2.61E-06,9.49E-06
22,10,2.97E-07,1.90E-06,6.23E-06
22,15,2.19E-07,1.58E-06,4.50E-06
22,20,2.80E-07,1.24E-06,3.23E-06
22,25,4.23E-07,1.14E-06,2.07E-06
22,30,4.62E-07,1.13E-06,1.07E-06
22,35,5.04E-07,9.81E-07,4.00E-08
22,40,5.49E-07,8.94E-07,-4.01E-07
22,45,5.61E-07,7.50E-07,-9.38E-07
22,50,7.47E-07,4.79E-07,-1.35E-06
22,60,5.96E-07,5.65E-07,-1.89E-06
22,70,6.04E-07,3.83E-07,-1.99E-06
22,80,6.11E-07,1.53E-07,-2.20E-06
22,90,6.90E-07,-8.00E-09,-2.06E-06
22,100,7.15E-07,1.21E-07,-1.94E-06
23,0,1.79E-06,1.62E-06,4.09E-06
23,5,6.60E-07,1.25E-06,2.54E-06
23,10,3.03E-07,6.51E-07,1.11E-07
23,15,2.18E-07,4.92E-07,-1.34E-06
23,20,4.06E-07,2.19E-07,-1.99E-06
23,25,2.75E-07,-8.44E-08,-2.61E-06
23,30,3.96E-07,-4.48E-08,-3.04E-06
23,35,3.93E-07,-3.11E-08,-3.56E-06
23,40,6.57E-07,7.96E-08,-3.85E-06
23,45,7.64E-07,-3.37E-07,-3.83E-06
23,50,7.79E-07,-1.58E-07,-4.18E-06
23,60,5.30E-07,-2.84E-08,-3.99E-06
23,70,9.50E-07,4.14E-08,-3.78E-06
23,80,6.20E-07,1.50E-07,-3.46E-06
23,90,8.47E-07,-7.56E-08,-3.10E-06
23,100,5.69E-07,-8.83E-09,-2.61E-06
24,0,1.85E-05,-1.53E-06,1.30E-05
24,5,1.05E-05,-1.42E-07,1.04E-05
24,10,4.77E-06,-2.98E-07,7.45E-06
24,15,3.47E-06,-5.94E-07,5.87E-06
24,20,2.64E-06,-8.55E-07,4.53E-06
24,25,2.40E-06,-8.17E-07,3.44E-06
24,30,2.29E-06,-7.14E-07,2.47E-06
24,35,2.09E-06,-5.10E-07,1.66E-06
24,40,2.00E-06,-7.18E-07,1.09E-06
24,45,1.78E-06,-8.05E-07,5.54E-07
24,50,1.47E-06,-6.86E-07,-3.37E-08
24,60,1.57E-06,-7.29E-07,-5.31E-07
24,70,1.56E-06,-8.98E-07,-1.06E-06
24,80,1.31E-06,-6.45E-07,-9.89E-07
24,90,1.40E-06,-4.67E-07,-8.27E-07
24,100,1.45E-06,-4.47E-07,-9.84E-07
25,0,-1.12E-06,2.11E-06,1.44E-05
25,5,-1.05E-06,2.08E-06,1.22E-05
25,10,-1.15E-06,1.71E-06,9.86E-06
25,15,-8.52E-07,1.29E-06,8.24E-06
25,20,-6.53E-07,1.18E-06,6.93E-06
25,25,-5.15E-07,9.70E-07,5.75E-06
25,30,-2.70E-07,8.65E-07,4.53E-06
25,35,5.22E-08,7.31E-07,3.71E-06
