Name,AF (mT),x (emu),y (emu),z (emu)
678,12.5,1.75E-07,-2.11E-06,2.13E-05
678,15,8.43E-07,-1.22E-06,1.87E-05
678,17.5,-9.48E-07,-2.00E-06,1.53E-05
678,20,8.66E-07,-1.76E-06,1.51E-05
678,25,-1.73E-07,-1.92E-06,1.29E-05
678,30,1.10E-07,-2.07E-06,1.07E-05
678,35,3.94E-07,-2.09E-06,8.48E-06
678,40,6.78E-07,-2.10E-06,8.12E-06
678,45,1.85E-07,-2.11E-06,7.75E-06
678,50,-3.07E-07,-1.37E-06,7.39E-06
678,60,-8.00E-07,-6.22E-07,6.28E-06
678,70,-5.68E-07,1.24E-07,5.17E-06
678,80,-3.35E-07,3.62E-07,4.07E-06
678,90,-1.02E-07,6.00E-07,2.24E-06
678,100,-2.91E-07,8.38E-07,4.07E-07
680,0,-2.33E-06,-1.25E-06,2.19E-05
680,2.5,-3.37E-06,-2.14E-07,2.01E-05
680,5,-3.00E-06,-6.66E-07,1.76E-05
680,7.5,-2.94E-06,-1.24E-06,1.56E-05
680,10,-3.43E-06,-2.87E-07,1.30E-05
680,12.5,-3.38E-06,-8.89E-07,1.21E-05
680,15,-2.90E-06,-3.66E-07,1.14E-05
680,17.5,-3.18E-06,-6.04E-07,1.04E-05
680,20,-3.01E-06,-2.18E-07,9.93E-06
680,25,-3.14E-06,-4.14E-07,9.01E-06
680,30,-3.05E-06,-6.10E-07,8.10E-06
680,35,-2.95E-06,-5.72E-07,7.18E-06
680,40,-2.85E-06,-5.34E-07,6.34E-06
680,45,-2.70E-06,-4.96E-07,5.50E-06
680,50,-2.54E-06,-3.03E-07,4.66E-06
680,60,-2.39E-06,-1.10E-07,3.99E-06
680,70,-1.79E-06,8.30E-08,3.32E-06
680,80,-1.19E-06,1.95E-07,2.65E-06
680,90,-5.85E-07,3.07E-07,2.35E-06
680,100,1.33E-07,4.19E-07,2.05E-06
681,0,1.93E-06,-1.87E-06,3.07E-05
681,2.5,1.84E-06,-1.85E-07,2.65E-05
681,5,2.19E-06,-1.41E-06,2.26E-05
681,7.5,1.75E-06,-1.39E-06,1.90E-05
681,10,1.66E-06,-1.28E-06,1.62E-05
681,12.5,1.83E-06,-6.68E-07,1.46E-05
